NDS01011	2	NDSZ0002	1	CDSP0056TM
NDS01011	3	NDSZ0002	2	CDSP0057TM
NDS01011	4	NDSZ0002	3	CDSP0058TM
NDS01017	1	NDSZ0002	0	CDSP0028TM
NDS01017	2	NDSZ0002	1	CDSP0031TM
NDS01017	3	NDSZ0002	2	CDSP0034TM
NDS01017	4	NDSZ0002	3	CDSP0037TM
NDS01018	1	NDSZ0002	0	CDSP0029TM
NDS01018	2	NDSZ0002	1	CDSP0032TM
NDS01018	3	NDSZ0002	2	CDSP0035TM
NDS01018	4	NDSZ0002	3	CDSP0038TM
NDS01027	1	NDSZ0002	0	CDSP0027TM
NDS01027	2	NDSZ0002	1	CDSP0030TM
NDS01027	3	NDSZ0002	2	CDSP0033TM
NDS01027	4	NDSZ0002	3	CDSP0036TM
NDS3Z001	1	NDSZ0001	0	CDSP0039TM
NDS3Z001	2	NDSZ0001	1	CDSP0040TM
NDS3Z001	3	NDSZ0001	2	CDSP0041TM
NDS3Z001	4	NDSZ0001	3	CDSP0042TM
NDS3Z002	1	NDSS0783	1	CDSP0043TM
NDS3Z002	2	NDSS0784	1	CDSP0047TM
NDS3Z002	3	NDSS0785	1	CDSP0051TM
NDS3Z002	4	NDSS0786	1	CDSP0044TM
NDS3Z002	5	NDSS0787	1	CDSP0048TM
NDS3Z002	6	NDSS0788	1	CDSP0052TM
NDS3Z002	7	NDSS0789	1	CDSP0045TM
NDS3Z002	8	NDSS0790	1	CDSP0049TM
NDS3Z002	9	NDSS0791	1	CDSP0053TM
NDS3Z002	10	NDSS0792	1	CDSP0046TM
NDS3Z002	11	NDSS0793	1	CDSP0050TM
NDS3Z002	12	NDSS0794	1	CDSP0054TM
NDS3Z003	1	NDSZ0001	0	CDSP0055TM
NDS3Z003	2	NDSZ0001	1	CDSP0056TM
NDS3Z003	3	NDSZ0001	2	CDSP0057TM
NDS3Z003	4	NDSZ0001	3	CDSP0058TM
NDS3Z007	1	NDSZ0001	0	CDSP0028TM
NDS3Z007	2	NDSZ0001	1	CDSP0031TM
NDS3Z007	3	NDSZ0001	2	CDSP0034TM
NDS3Z007	4	NDSZ0001	3	CDSP0037TM
NDS3Z008	1	NDSZ0001	0	CDSP0029TM
NDS3Z008	2	NDSZ0001	1	CDSP0032TM
NDS3Z008	3	NDSZ0001	2	CDSP0035TM
NDS3Z008	4	NDSZ0001	3	CDSP0038TM
NDS3Z00B	1	NDSZ0001	0	CDSP0027TM
NDS3Z00B	2	NDSZ0001	1	CDSP0030TM
NDS3Z00B	3	NDSZ0001	2	CDSP0033TM
NDS3Z00B	4	NDSZ0001	3	CDSP0036TM
NDS3Z00F	1	NDSS0795	1	CDSP0013TM
NDS3Z00F	2	NDSS0796	1	CDSP0014TM
NDS3Z00F	3	NDSS0797	1	CDSP0015TM
NDS3Z00F	4	NDSS0798	1	CDSP0016TM
NDS3Z00F	5	NDSS0799	1	CDSP0017TM
NDS3Z00F	6	NDSS0800	1	CDSP0018TM
NDS3Z00F	7	NDSS0801	1	CDSP0019TM
NDS3Z00F	8	NDSS0802	1	CDSP0020TM
NDS3Z00H	1	NDSZ0001	0	CDSP0023TM
NDS3Z00H	2	NDSZ0001	1	CDSP0024TM
NDS3Z00H	3	NDSZ0001	2	CDSP0025TM
NDS3Z00H	4	NDSZ0001	3	CDSP0026TM
NDS3Z00W	1	NDSD0022	1	CDSP0021TM
NDS3Z00W	2	NDSD0022	0	CDSP0022TM
NDS3Z01W	1	NDSZ0002	0	CDSP0039TM
NDS3Z01W	2	NDSZ0002	1	CDSP0040TM
NDS3Z01W	3	NDSZ0002	2	CDSP0041TM
NDS3Z01W	4	NDSZ0002	3	CDSP0042TM
NDS3Z01X	1	NDSS1783	1	CDSP0043TM
NDS3Z01X	2	NDSS1784	1	CDSP0047TM
NDS3Z01X	3	NDSS1785	1	CDSP0051TM
NDS3Z01X	4	NDSS1786	1	CDSP0044TM
NDS3Z01X	5	NDSS1787	1	CDSP0048TM
NDS3Z01X	6	NDSS1788	1	CDSP0052TM
NDS3Z01X	7	NDSS1789	1	CDSP0045TM
NDS3Z01X	8	NDSS1790	1	CDSP0049TM
NDS3Z01X	9	NDSS1791	1	CDSP0053TM
NDS3Z01X	10	NDSS1792	1	CDSP0046TM
NDS3Z01X	11	NDSS1793	1	CDSP0050TM
NDS3Z01X	12	NDSS1794	1	CDSP0054TM
NDS3Z01Y	1	NDSZ0002	0	CDSP0055TM
NDS3Z01Y	2	NDSZ0002	1	CDSP0056TM
NDS3Z01Y	3	NDSZ0002	2	CDSP0057TM
NDS3Z01Y	4	NDSZ0002	3	CDSP0058TM
NDS3Z022	1	NDSZ0002	0	CDSP0028TM
NDS3Z022	2	NDSZ0002	1	CDSP0031TM
NDS3Z022	3	NDSZ0002	2	CDSP0034TM
